No.,Name,Net worth,Age,Nationality,Source of wealth
0,1,Bill Gates,86.0 ,61,United States,Microsoft
1,2,Warren Buffett,75.6 ,86,United States,Berkshire Hathaway
2,3,Jeff Bezos,72.8 ,53,United States,Amazon
3,4,Amancio Ortega,71.3 ,80,Spain,"Inditex, Zara"
4,5,Mark Zuckerberg,56.0 ,32,United States,"Facebook, Inc."
5,6,Carlos Slim,54.5 ,77,Mexico,"América Móvil, Grupo Carso"
6,7,Larry Ellison,52.2 ,72,United States,Oracle Corporation
7,8,Charles Koch,48.3 ,81,United States,Koch Industries
8,8,David Koch,48.3 ,76,United States,Koch Industries
9,10,Michael Bloomberg,47.5 ,75,United States,Bloomberg L.P.
