No.,Name,Net worth,Age,Nationality,Source of wealth
0,1,Jeff Bezos,131 ,55,United States,Amazon
1,2,Bill Gates,96.5 ,63,United States,Microsoft
2,3,Warren Buffett,82.5 ,88,United States,Berkshire Hathaway
3,4,Bernard Arnault,76 ,70,France,LVMH
4,5,Carlos Slim,64 ,79,Mexico,"América Móvil, Grupo Carso"
5,6,Amancio Ortega,62.7 ,82,Spain,"Inditex, Zara"
6,7,Larry Ellison,62.5 ,74,United States,Oracle Corporation
7,8,Mark Zuckerberg,62.3 ,34,United States,"Facebook, Inc."
8,9,Michael Bloomberg,55.5 ,77,United States,Bloomberg L.P.
9,10,Larry Page,50.8 ,45,United States,Alphabet Inc.
